ID,SMILES,IC50,pIC50
CHEMBL268889,c1ccc(nc1)c1nc2n(c1c1ccc3c(c1)OCO3)CCC2,460,6.337
CHEMBL259821,CN(CC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,64,7.194
CHEMBL1835620,COc1ccccc1NC(=S)n1nc(c(c1)c1ccc2n(c1)ncn2)c1cccc(n1)C,5.69,8.245
CHEMBL2088218,COc1cc(CNc2sc(c(n2)c2cccc(n2)C)c2ccc3n(c2)ncn3)cc(c1)OC,16.5,7.783
CHEMBL2088215,Cc1cccc(n1)c1nc(sc1c1ccc2n(c1)ncn2)NCc1cc(C)cc(c1)C,22,7.658
CHEMBL2087968,Cc1cccc(n1)c1nc(sc1c1ccc2n(c1)ncn2)NCc1cccc(c1)C,11.2,7.951
CHEMBL2087967,Cc1cccc(n1)c1nc(sc1c1ccc2n(c1)ncn2)NCc1cccc(c1)Cl,10.2,7.991
CHEMBL511563,COc1ccc(cc1)c1cnc2n(c1)ncc2c1ccnc2c1cccc2,33300,4.478
CHEMBL1766456,N#Cc1cccc(c1)NC(=S)CCn1nc(c(c1)c1ccc2c(c1)cccn2)c1cccc(n1)C,232,6.635
CHEMBL1164971,N#Cc1cccc(c1)Cn1nc(c(c1)c1cccc(n1)C)c1ccc2c(c1)cccn2,34,7.469
CHEMBL126676,c1ccc(cc1)c1n[nH]cc1c1ccnc2c1cccc2,382,6.418
CHEMBL565643,Nc1nc(c(s1)c1ccc2c(n1)c(C)ccc2)c1ccccn1,30,7.523
CHEMBL6250,OC(=O)c1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1,170,6.77
CHEMBL3707023,C#Cc1ccc(cc1)NCc1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1cccc(n1)C,174,6.759
CHEMBL129677,Cc1cccc(n1)c1[nH]ncc1c1ccnc2c1cccc2,34,7.469
CHEMBL129760,COc1ccc(cc1)c1cn(nc1c1cccc(n1)C)C,44,7.357
CHEMBL261702,CN(C(=O)c1ccc(cc1)Oc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,1100,5.959
CHEMBL3260576,C=Cc1ccccc1NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,14,7.854
CHEMBL3260583,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cccc(c1)Br,5,8.301
CHEMBL3260587,COc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)c1ccc2n(c1)ncn2,14,7.854
CHEMBL573287,COc1ccc(cc1)Nc1nccc(c1)Oc1cc(C)c(nc1c1ccccn1)C,30,7.523
CHEMBL120245,CC(c1cccc(n1)c1nn2c(c1c1ccnc3c1cccc3)CCC2)C,1300,5.886
CHEMBL584928,COC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,40,7.398
CHEMBL121554,Clc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,54,7.268
CHEMBL119936,CCSc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,110,6.959
CHEMBL338196,c1ccc(nc1)c1n[nH]c(c1c1ccnc2c1cccc2)C1CC1,203,6.693
CHEMBL204170,Cn1cnc2c1cc(cc2)c1c2CCCn2nc1c1ccccn1,75,7.125
CHEMBL205271,CN(C(=O)c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1)C1CCOCC1,214,6.67
CHEMBL1164022,Cc1cccc(n1)c1nn(cc1c1ccc2c(c1)cccn2)Cc1cccc(c1)C(=O)N,131,6.883
CHEMBL1165694,N#Cc1cccc(c1)Cn1nc(c(c1)c1ccc2c(n1)cccn2)c1cccc(n1)C,318,6.498
CHEMBL1164957,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)cccn2)Cc1cccc(c1)C(=O)N,34,7.469
CHEMBL1835713,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)nc(n2)C)C(=S)Nc1cccc(c1)C(=O)N,66.8,7.175
CHEMBL1835524,N#Cc1cccc(c1)NC(=S)n1cc(c(n1)c1cccc(n1)C)c1ccc2n(c1)ncn2,4.5,8.347
