ID,SaaNH,n9FaHRing,naHRing,JGI5,MATS1c,n9FHRing,PEOE_VSA1,NsOH,Xch-6d,AATSC3i
CHEMBL1824442,0.0,0,3,0.022233333,-0.305378181,0,5.316788604,0,0.497193875,0.080568234
CHEMBL2435036,0.0,0,2,0.02052399,-0.543350914,1,20.52418199,0,0.580527208,0.018627787
CHEMBL2088222,0.0,1,4,0.016578283,-0.510873628,1,5.316788604,0,0.580527208,-0.22679369
CHEMBL2087985,0.0,1,4,0.018094315,-0.527427991,1,5.316788604,0,0.565235256,-0.032204086
CHEMBL1835711,0.0,1,4,0.021731678,-0.484985216,1,5.316788604,0,0.652411263,0.093020438
CHEMBL1835532,0.0,1,4,0.022021277,-0.451665177,1,5.316788604,0,0.568041382,-0.046718383
CHEMBL1835520,0.0,1,4,0.021141304,-0.449003293,1,5.316788604,0,0.568041382,-0.067848011
CHEMBL3260572,3.5032079080000003,1,4,0.019631643,-0.484756005,1,10.30076712,0,0.580527208,0.044575613
CHEMBL3260594,3.424954963,1,4,0.018423913,-0.471007646,1,10.30076712,0,0.580527208,0.110392038
CHEMBL3260596,3.3958641710000004,1,4,0.019311111,-0.5556482629999999,1,10.30076712,0,0.580527208,0.19272902
CHEMBL3260605,3.472952911,1,4,0.018255814,-0.477347026,1,10.30076712,0,0.580527208,0.115822016
CHEMBL2324833,0.0,0,3,0.021511752,-0.321645296,0,4.736862953999999,0,0.484708048,-0.05978780700000001
CHEMBL2087980,0.0,1,4,0.018525132,-0.5149864000000001,1,5.316788604,0,0.580527208,-0.057407797
CHEMBL2087966,0.0,1,4,0.01587963,-0.5254424,1,5.316788604,0,0.580527208,-0.059861316
CHEMBL3634709,3.315069681,1,4,0.01623385,-0.468127879,1,10.30076712,0,0.583963996,0.064650533
CHEMBL2087971,0.0,1,4,0.016578283,-0.5131761229999999,1,5.316788604,0,0.580527208,-0.091495316
CHEMBL2087986,0.0,1,4,0.016802326,-0.532440192,1,5.316788604,0,0.565235256,-0.047102379000000014
CHEMBL2087973,0.0,1,4,0.017202381,-0.5313176629999999,1,5.316788604,0,0.580527208,-0.051062049000000005
CHEMBL2087969,0.0,1,4,0.016578283,-0.4512685420000001,1,10.05365156,0,0.580527208,-0.045200869000000005
CHEMBL2088224,0.0,1,4,0.018525132,-0.517352395,1,5.316788604,0,0.580527208,-0.28821514800000003
CHEMBL2088223,0.0,1,4,0.018423913,-0.615387162,1,11.05045608,0,0.580527208,-0.2265249
CHEMBL1829504,2.916716427,0,4,0.015981481000000002,-0.207206943,0,0.0,0,0.404811503,0.160806105
CHEMBL1835529,0.0,1,4,0.025941043,-0.528001071,1,5.316788604,0,0.568041382,-0.298085971
